i,decision_date,entry_date,exit_date,candidate,long_symbols,short_symbols,gross_unit_return,eligible_count,net_return,before,after,log
395,2023-08-10,2023-08-11,2023-08-14,drawdown_recovery_k1,"[""LQTYUSDT""]","[""CKBUSDT""]",-0.09222907928617485,29,-0.025807269821543716,0.8747747271857405,0.8521991797681908,-0.02614611998771653
396,2023-08-13,2023-08-14,2023-08-17,drawdown_recovery_k1,"[""GMXUSDT""]","[""ASTRUSDT""]",-0.08637431031758613,29,-0.024343577579396536,0.8521991797681908,0.8314536029224058,-0.024644780753213514
397,2023-08-16,2023-08-17,2023-08-20,drawdown_recovery_k1,"[""GMXUSDT""]","[""USDCUSDT""]",-0.03472001324200813,26,-0.011430003310502035,0.8314536029224058,0.8219500854884738,-0.011495827862263028
398,2023-08-19,2023-08-20,2023-08-23,drawdown_recovery_k1,"[""CFXUSDT""]","[""USDCUSDT""]",-0.0211579134423312,25,-0.0080394783605828,0.8219500854884738,0.81534203556271,-0.008071969223633804
399,2023-08-22,2023-08-23,2023-08-26,drawdown_recovery_k1,"[""LQTYUSDT""]","[""USDCUSDT""]",0.009184219360874213,23,-0.00045394515978144684,0.81534203556271,0.8149719149921,-0.00045404822407706043
400,2023-08-25,2023-08-26,2023-08-29,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""USDCUSDT""]",-0.02747355876787161,22,-0.009618389691967905,0.8149719149921,0.8071331975256966,-0.009664945168424371
401,2023-08-28,2023-08-29,2023-09-01,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""USDCUSDT""]",-0.06294628683495984,21,-0.018486571708739963,0.8071331975256966,0.7922120717911333,-0.018659583962104192
402,2023-08-31,2023-09-01,2023-09-04,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""JOEUSDT""]",0.1567335203189576,22,0.0364333800797394,0.7922120717911333,0.8210750353064574,0.03578537690593637
403,2023-09-03,2023-09-04,2023-09-07,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""USDCUSDT""]",-0.008367182970546061,21,-0.004841795742636515,0.8210750353064574,0.8170995576961254,-0.0048535552089543944
404,2023-09-06,2023-09-07,2023-09-10,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""LEVERUSDT""]",0.0245738505694848,20,0.0033934626423712004,0.8170995576961254,0.8198723545202653,0.0033877178408629393
405,2023-09-09,2023-09-10,2023-09-13,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""LEVERUSDT""]",-0.019062942900964996,18,-0.007515735725241249,0.8198723545202653,0.8137104105752597,-0.007544121181481379
406,2023-09-12,2023-09-13,2023-09-16,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""KEYUSDT""]",-0.08951063118040525,18,-0.025127657795101316,0.8137104105752597,0.7932637738340133,-0.025448747628409683
407,2023-09-15,2023-09-16,2023-09-19,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""KEYUSDT""]",-0.0074453734272024175,18,-0.004611343356800604,0.7932637738340133,0.7896057622003532,-0.0046220083999922315
408,2023-09-18,2023-09-19,2023-09-22,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""RADUSDT""]",-0.014224658479310759,18,-0.0063061646198276896,0.7896057622003532,0.7846263782791533,-0.006326132467219895
409,2023-09-21,2023-09-22,2023-09-25,drawdown_recovery_k1,"[""1000PEPEUSDT""]","[""LEVERUSDT""]",0.047508091012100406,17,0.0091270227530251,0.7846263782791533,0.7917876810863308,0.009085623193340168
410,2023-09-24,2023-09-25,2023-09-28,drawdown_recovery_k1,"[""NMRUSDT""]","[""LEVERUSDT""]",-0.01232422334475447,17,-0.005831055836188617,0.7917876810863308,0.7871707229075101,-0.005848122820301938
411,2023-09-27,2023-09-28,2023-10-01,drawdown_recovery_k1,"[""NMRUSDT""]","[""COMBOUSDT""]",-0.019865086044021707,15,-0.007716271511005427,0.7871707229075101,0.7810966998840414,-0.007746195970250347
412,2023-09-30,2023-10-01,2023-10-04,drawdown_recovery_k1,"[""NMRUSDT""]","[""MAVUSDT""]",0.11155202821869481,16,0.0251380070546737,0.7810966998840414,0.8007319142361087,0.02482724455603155
413,2023-10-03,2023-10-04,2023-10-07,drawdown_recovery_k1,"[""KEYUSDT""]","[""MDTUSDT""]",0.1418240232786252,16,0.0327060058196563,0.8007319142361087,0.8269206568830993,0.03218254732627811
414,2023-10-06,2023-10-07,2023-10-10,drawdown_recovery_k1,"[""MAVUSDT""]","[""1000FLOKIUSDT""]",0.010295289853824885,15,-0.00017617753654377882,0.8269206568830993,0.8267749720388525,-0.00017619305762894925
