decision_date,entry_date,exit_date,long_symbol,short_symbol,long_signal,short_signal,dispersion,dispersion_gate,eligible_count,median_quote_volume_long,median_quote_volume_short,long_entry,long_exit,short_entry,short_exit,gross_unit_return
2022-09-14,2022-09-15,2022-09-18,BNXUSDT,WOOUSDT,0.1662163149054261,-0.32810522509491946,0.14961448168221017,True,7,23961110.888,13397685.120945,159.7,139.76,0.14866,0.15056,-0.13763995302304444
2022-09-17,2022-09-18,2022-09-21,BNXUSDT,DARUSDT,0.010482938114517282,-0.19903248099516235,0.07458362298262523,False,7,29054824.8925,8772356.09111,139.76,161.77,0.2317,0.2037,0.27833018017940125
2022-09-20,2022-09-21,2022-09-24,BNXUSDT,JASMYUSDT,0.1421613609091552,-0.2528077982623437,0.12752894422964597,False,7,31597979.5165,31204616.708194003,161.77,158.72,0.007052,0.007172,-0.0358703776511482
2022-09-23,2022-09-24,2022-09-27,BNXUSDT,OPUSDT,0.22525860737995984,-0.22782126549249837,0.15831980310702465,True,7,40282897.535500005,242984276.636085,158.72,158.75,0.9471,0.922,0.026690965427995872
2022-09-26,2022-09-27,2022-09-30,BNXUSDT,JASMYUSDT,0.22692129271687023,-0.2131751698721639,0.14154208268904644,False,7,40282897.535500005,28084791.679876998,158.75,158.28,0.006832,0.00663,0.026606114809419434
2022-09-29,2022-09-30,2022-10-03,GALUSDT,JASMYUSDT,0.0658327579904967,-0.23408434430964753,0.09377003156922761,False,6,31424211.592150003,27966809.041113,2.6253,2.4767,0.00663,0.006343,-0.0133149704244101
2022-10-02,2022-10-03,2022-10-06,GALUSDT,OPUSDT,-0.007532353059016672,-0.31584930172133807,0.10647949470382458,False,6,31424211.592150003,183820970.67303,2.4767,2.6035,0.8427,0.8621,0.028175916259605804
2022-10-05,2022-10-06,2022-10-09,GALUSDT,OPUSDT,0.06180096334394625,-0.2795420357680094,0.11742758040512861,False,6,31424211.592150003,158261523.915335,2.6035,2.59,0.8621,0.8353,0.025901553428462898
2022-10-08,2022-10-09,2022-10-12,GALUSDT,JASMYUSDT,0.04016064257028096,-0.29380570912783477,0.12880586111207065,False,5,28728638.466799997,26876893.489755,2.59,2.4073,0.006259,0.005559,0.041298411368710375
2022-10-11,2022-10-12,2022-10-15,FTTUSDT,OPUSDT,-0.16633777044239528,-0.4725831786377267,0.12008007384314433,False,5,14108537.358199999,93856483.732895,23.235,23.421,0.7387,0.7172,0.03711034940641711
2022-10-14,2022-10-15,2022-10-18,GALUSDT,OPUSDT,-0.15493272706943473,-0.4096782157847091,0.11892457175847382,False,4,22598870.89125,90628157.47984001,2.2667,2.3411,0.7172,0.7641,-0.03257014904139299
2022-10-17,2022-10-18,2022-10-21,GALUSDT,JASMYUSDT,-0.11956072059874379,-0.387743213328673,0.11436521104110149,False,4,20571483.15445,24024830.789568,2.3411,2.0572,0.005255,0.004512,0.02012137308407025
2022-10-20,2022-10-21,2022-10-24,DARUSDT,OPUSDT,-0.10211094747177218,-0.26959930313588854,0.06914829192431086,False,3,5646759.921855,73357248.86039001,0.1828,0.1883,0.6708,0.8303,-0.20768826274907415
2022-10-23,2022-10-24,2022-10-27,DARUSDT,GALUSDT,-0.095581171950048,-0.27813012185562613,0.0803342356452183,False,3,5367140.13006,19516743.53525,0.1883,0.1977,2.0256,2.0596,0.03313518980417607
2022-10-26,2022-10-27,2022-10-30,OPUSDT,GALUSDT,0.20835140997830814,-0.2387182614480542,0.18253147272762582,True,3,78420141.892995,19516743.53525,1.1142,1.0834,2.0596,2.2007,-0.09615160027971337
2022-10-29,2022-10-30,2022-11-02,OPUSDT,GALUSDT,0.19805374322680525,-0.16209419295839056,0.1800739680925979,True,2,78420141.892995,20926471.2473,1.0834,1.0045,2.2007,2.0831,-0.019388745012988262
2022-11-01,2022-11-02,2022-11-05,OPUSDT,GALUSDT,0.19202468549727025,-0.15909733155706263,0.17556100852716644,True,2,86632285.1169,22556703.540799998,1.0045,1.3623,2.0831,2.4642,0.17324862276063246
2022-11-16,2022-11-17,2022-11-20,OPUSDT,INJUSDT,0.1744536055490118,-0.17228286663502623,0.173368236092019,True,2,214434529.43782002,74754551.13385,0.8974,0.9304,1.743,1.707,0.05742694423783845
2022-11-19,2022-11-20,2022-11-23,OPUSDT,INJUSDT,0.38700059630292194,-0.07829373650107996,0.23264716640200095,True,2,214434529.43782002,61153643.76935,0.9304,0.8619,1.707,1.6,-0.01094117792247895
2022-11-22,2022-11-23,2022-11-26,OPUSDT,INJUSDT,0.03793809466457909,-0.17364341085271318,0.10579075275864613,False,2,206036613.102375,54856677.84445,0.8619,0.9217,1.6,1.61,0.06313159879336339
2022-11-25,2022-11-26,2022-11-29,STGUSDT,INJUSDT,-0.1078391551584078,-0.2185526954832444,0.04542410115722467,False,3,21885519.7676,53545779.262150005,0.4393,0.4175,1.61,1.534,-0.00241943351435725
2022-11-28,2022-11-29,2022-12-02,OPUSDT,INJUSDT,-0.19595717186634665,-0.3298383573612932,0.062302309978618194,False,3,108991851.829785,35367692.44885,0.871,1.0571,1.534,1.689,0.11261943217420067
2022-12-01,2022-12-02,2022-12-05,STGUSDT,INJUSDT,-0.1308697427521437,-0.3245403677058353,0.09683531247684579,False,2,15603945.174649999,33354793.9225,0.4258,0.4277,1.689,1.629,0.03998616750665562
2022-12-04,2022-12-05,2022-12-08,STGUSDT,INJUSDT,-0.16906335017489305,-0.39852398523985244,0.1147303175324797,False,2,12778875.16935,22220942.8341,0.4277,0.4002,1.629,1.587,-0.03851471595682243
2022-12-07,2022-12-08,2022-12-11,STGUSDT,INJUSDT,-0.1801229508196721,-0.40717220769518114,0.09326602717349268,False,3,11509687.59035,16495959.441,0.4002,0.4063,1.587,1.664,-0.03327683984094909
2022-12-10,2022-12-11,2022-12-14,STGUSDT,1000LUNCUSDT,-0.0053829214582824525,-0.12094698919197111,0.04237996227082759,False,5,9358516.5002,49796625.006,0.4063,0.3943,0.1708,0.1681,-0.013726863953620327
2022-12-13,2022-12-14,2022-12-17,STGUSDT,INJUSDT,0.0492283129324107,-0.09492273730684331,0.04762061810997993,False,5,8411446.54185,14043028.72355,0.3943,0.3518,1.639,1.406,0.034373903784821636
2022-12-16,2022-12-17,2022-12-20,STGUSDT,1000LUNCUSDT,-0.11716006021073766,-0.23184357541899436,0.04025428550910222,False,5,8128429.82915,37719878.58535,0.3518,0.3697,0.1375,0.1303,0.10324481885368753
2022-12-19,2022-12-20,2022-12-23,STGUSDT,LUNA2USDT,-0.10126274890723652,-0.2645392186101998,0.05831946990102905,False,5,7980258.759749999,16931531.0464,0.3697,0.3724,1.233,1.2701,-0.022785994474816773
2022-12-22,2022-12-23,2022-12-26,CVXUSDT,LDOUSDT,-0.09210860187769598,-0.20276046304541406,0.03442367129704348,False,7,5476391.2145,9393629.1879,3.578,3.603,0.8953,0.9685,-0.07477316015310564
2022-12-25,2022-12-26,2022-12-29,1000LUNCUSDT,INJUSDT,-0.08391167192429028,-0.18520820385332504,0.03356271200314811,False,7,37719878.58535,9774207.02505,0.1453,0.1472,1.312,1.254,0.05728371074144323
